gene,chr,start,stop,lead_or_lag
YAL010C,chrI,134184,135665,-
YAL009W,chrI,135854,136633,+
YAL008W,chrI,136914,137510,+
YAL007C,chrI,137698,138345,-
YAL005C,chrI,139503,141431,-
YAL004W,chrI,140760,141407,+
YAL003W,chrI,142174,143160,+
YAL002W,chrI,143707,147531,+
YAL001C,chrI,147594,151166,-
YAR002W,chrI,152257,153876,+
YAR002C-A,chrI,154065,154724,-
YAR003W,chrI,155005,156285,+
YAR007C,chrI,156754,158619,-
YAR008W,chrI,158966,159793,+
YAR014C,chrI,166742,168871,-
YAR015W,chrI,169375,170295,+
YAR018C,chrI,170396,171703,-
YAR019C,chrI,172211,175135,-
YAR019W-A,chrI,174998,175330,+
YAR020C,chrI,176856,177023,-
YAR023C,chrI,179281,179820,-
YAR027W,chrI,183770,184477,+
YAR028W,chrI,184892,185596,+
YAR029W,chrI,186321,186545,+
YAR030C,chrI,186512,186853,-
YAR031W,chrI,186836,187732,+
YAR033W,chrI,188107,188811,+
YAR035W,chrI,190193,192256,+
YAR035C-A,chrI,192337,192417,-
YAR042W,chrI,192619,196185,+
YAR047C,chrI,201467,201787,-
YAR050W,chrI,203403,208016,+
YAR053W,chrI,208367,208663,+
YAR060C,chrI,217157,217492,-
YAR064W,chrI,220198,220497,+
YAR066W,chrI,221049,221660,+
YAR068W,chrI,222406,222891,+
YAR069C,chrI,224011,224304,-
YAR070C,chrI,224563,224862,-
YAR071W,chrI,225460,226863,+
YAR073W,chrI,227742,228953,+
YAR075W,chrI,228844,229317,+
YBL113C,chrII,280,2658,-
YBL113W-A,chrII,646,1128,+
YBL112C,chrII,2582,2899,-
YBL111C,chrII,2907,5009,-
YBL109W,chrII,5790,6125,+
YBL108C-A,chrII,7605,7733,-
YBL108W,chrII,8177,8482,+
YBL107W-A,chrII,9268,9372,+
YBL107C,chrII,9961,10551,-
YBL106C,chrII,10847,13879,-
YBL105C,chrII,14241,17696,-
YBL104C,chrII,18177,21293,-
YBL103C,chrII,22076,23536,-
YBL102W,chrII,24098,24745,+
YBL101C,chrII,24946,28299,-
YBL100W-C,chrII,28427,28546,+
YBL100C,chrII,36989,37303,-
YBL099W,chrII,37053,38690,+
YBL098W,chrII,39145,40527,+
YBL097W,chrII,40831,43095,+
YBL096C,chrII,43174,43482,-
YBL095W,chrII,43277,44089,+
YBL094C,chrII,43765,44097,-
YBL093C,chrII,44256,44918,-
YBL092W,chrII,45645,46370,+
YBL091C-A,chrII,46565,47180,-
YBL091C,chrII,47363,48628,-
YBL090W,chrII,48825,49358,+
YBL089W,chrII,49574,50953,+
YBL088C,chrII,51019,59382,-
YBL087C,chrII,59822,60739,-
YBL086C,chrII,61202,62602,-
YBL085W,chrII,63876,66818,+
YBL084C,chrII,67169,69445,-
YBL083C,chrII,69713,70138,-
YBL082C,chrII,69751,71127,-
YBL081W,chrII,71866,72972,+
YBL080C,chrII,73070,74695,-
YBL079W,chrII,75259,79767,+
YBL078C,chrII,80378,80731,-
YBL077W,chrII,80897,81328,+
YBL076C,chrII,81043,84261,-
YBL075C,chrII,84499,86448,-
YBL074C,chrII,86722,87789,-
YBL073W,chrII,87646,87957,+
YBL072C,chrII,88523,89440,-
YBL071C-B,chrII,89458,89556,-
YBL071W-A,chrII,89978,90226,+
YBL071C,chrII,90223,90531,-
YBL070C,chrII,90605,90925,-
YBL069W,chrII,90741,92030,+
YBL068W-A,chrII,91794,92030,+
YBL068W,chrII,92414,93394,+
YBL067C,chrII,93639,95882,-
YBL066C,chrII,96669,100115,-
YBL065W,chrII,99963,100307,+
YBL064C,chrII,100371,101156,-
YBL063W,chrII,101886,105221,+
YBL062W,chrII,105308,105688,+
YBL061C,chrII,105316,107406,-
YBL060W,chrII,107932,109995,+
YBL059C-A,chrII,110125,110539,-
YBL059W,chrII,110594,111244,+
YBL058W,chrII,111437,112708,+
YBL057C,chrII,112801,113427,-
YBL056W,chrII,113762,115168,+
YBL055C,chrII,115573,116829,-
YBL054W,chrII,117589,119166,+
YBL053W,chrII,119335,119709,+
YBL052C,chrII,119379,121874,-
YBL051C,chrII,122753,124759,-
YBL050W,chrII,125125,126119,+
YBL049W,chrII,126828,127244,+
YBL048W,chrII,127299,127610,+
YBL047C,chrII,127895,132040,-
YBL046W,chrII,132424,133749,+
YBL045C,chrII,134143,135516,-
YBL044W,chrII,135998,136366,+
YBL043W,chrII,136688,137461,+
YBL042C,chrII,138341,140260,-
YBL041W,chrII,141247,141972,+
YBL040C,chrII,142112,142868,-
YBL039W-B,chrII,143393,143572,+
YBL039C,chrII,143989,145728,-
YBL039C-A,chrII,144948,145031,-
YBL038W,chrII,146187,146885,+
YBL037W,chrII,147209,150286,+
YBL036C,chrII,150447,151220,-
YBL035C,chrII,151493,153610,-
YBL034C,chrII,153848,158389,-
YBL033C,chrII,158656,159693,-
YBL032W,chrII,160184,161329,+
YBL031W,chrII,161699,162715,+
YBL030C,chrII,163041,163997,-
YBL029C-A,chrII,164488,164772,-
YBL029W,chrII,166134,167264,+
YBL028C,chrII,167518,167838,-
YBL027W,chrII,168423,169376,+
YBL026W,chrII,170623,171038,+
YBL025W,chrII,171481,171918,+
YBL024W,chrII,172534,174588,+
YBL023C,chrII,174920,177526,-
YBL022C,chrII,177874,181275,-
YBL021C,chrII,181660,182094,-
YBL020W,chrII,182401,184125,+
YBL019W,chrII,184353,185915,+
YBL018C,chrII,185998,186474,-
YBL017C,chrII,186844,191583,-
YBL016W,chrII,192451,193512,+
YBL015W,chrII,194122,195702,+
YBL014C,chrII,199064,201748,-
YBL013W,chrII,202056,203261,+
YBL012C,chrII,203406,203807,-
YBL011W,chrII,203538,205817,+
YBL010C,chrII,206107,206949,-
YBL009W,chrII,207194,209224,+
YBL008W-A,chrII,209409,209648,+
YBL008W,chrII,209653,212175,+
YBL007C,chrII,212632,216366,-
YBL006C,chrII,216587,217129,-
YBL006W-A,chrII,216711,216860,+
YBL005W,chrII,217470,220400,+
YBL004W,chrII,227636,235117,+
YBL003C,chrII,235394,235792,-
YBL002W,chrII,236492,236887,+
YBL001C,chrII,237153,237467,-
YBR001C,chrII,238941,241283,-
YBR002C,chrII,241708,242568,-
YBR003W,chrII,242809,244230,+
YBR004C,chrII,244366,245667,-
YBR005W,chrII,245906,246547,+
YBR006W,chrII,247010,248503,+
YBR007C,chrII,248806,251016,-
YBR008C,chrII,252563,254209,-
YBR009C,chrII,255373,255684,-
YBR010W,chrII,256331,256741,+
YBR011C,chrII,257112,257975,-
YBR012C,chrII,259147,259566,-
YBR013C,chrII,265492,265881,-
YBR014C,chrII,266725,267336,-
YBR015C,chrII,267710,269503,-
YBR016W,chrII,270247,270633,+
YBR017C,chrII,270947,273703,-
YBR018C,chrII,274427,275527,-
YBR019C,chrII,276253,278352,-
YBR020W,chrII,279021,280607,+
YBR021W,chrII,281443,283344,+
YBR022W,chrII,283738,284271,+
YBR023C,chrII,284428,287925,-
YBR024W,chrII,289445,290350,+
YBR025C,chrII,290681,291865,-
YBR026C,chrII,292877,294019,-
YBR027C,chrII,294024,294356,-
YBR028C,chrII,294425,296002,-
YBR029C,chrII,296369,297742,-
YBR030W,chrII,298292,299950,+
YBR031W,chrII,300166,301254,+
YBR032W,chrII,301519,301821,+
YBR033W,chrII,301944,304703,+
YBR034C,chrII,304930,305976,-
YBR035C,chrII,306269,306955,-
YBR036C,chrII,309081,310313,-
YBR037C,chrII,310565,311452,-
YBR038W,chrII,311898,314789,+
YBR039W,chrII,315575,316510,+
YBR040W,chrII,316968,317864,+
YBR041W,chrII,318266,320275,+
YBR042C,chrII,320416,321609,-
YBR043C,chrII,321876,323945,-
YBR044C,chrII,324341,326059,-
YBR045C,chrII,328173,330092,-
YBR046C,chrII,330507,331511,-
YBR047W,chrII,331833,332360,+
YBR048W,chrII,332831,333812,+
YBR049C,chrII,334386,336818,-
YBR050C,chrII,337183,338199,-
YBR051W,chrII,337988,338338,+
YBR052C,chrII,338720,339352,-
YBR053C,chrII,339675,340751,-
YBR054W,chrII,343101,344135,+
YBR055C,chrII,344602,347301,-
YBR056W,chrII,347879,349384,+
YBR056W-A,chrII,351255,351455,+
YBR056C-B,chrII,351293,351451,-
YBR057C,chrII,352193,353293,-
YBR058C,chrII,353672,356017,-
YBR058C-A,chrII,356324,356566,-
YBR059C,chrII,356861,360187,-
YBR060C,chrII,360652,362514,-
YBR061C,chrII,364787,365719,-
YBR062C,chrII,365976,366600,-
YBR063C,chrII,366970,368184,-
YBR064W,chrII,367763,368191,+
YBR065C,chrII,368584,369678,-
YBR066C,chrII,370037,370699,-
YBR067C,chrII,372103,372735,-
YBR068C,chrII,373861,375690,-
YBR069C,chrII,376574,378433,-
YBR070C,chrII,379221,379934,-
YBR071W,chrII,380411,381046,+
YBR072W,chrII,382030,382674,+
YBR072C-A,chrII,382860,383021,-
YBR073W,chrII,383112,385988,+
YBR074W,chrII,386286,389216,+
YBR076W,chrII,390227,391291,+
YBR076C-A,chrII,391351,391617,-
YBR077C,chrII,391805,392293,-
YBR078W,chrII,393123,394742,+
YBR079C,chrII,395383,398277,-
YBR080C,chrII,398614,400890,-
YBR081C,chrII,401253,405251,-
YBR082C,chrII,406628,407169,-
YBR083W,chrII,409169,410629,+
YBR084W,chrII,411054,413981,+
YBR084C-A,chrII,414186,415261,-
YBR085W,chrII,415983,416906,+
YBR085C-A,chrII,418907,419164,-
YBR086C,chrII,420201,423041,-
YBR087W,chrII,423765,424829,+
YBR088C,chrII,424990,425766,-
YBR089W,chrII,425183,425782,+
YBR089C-A,chrII,426190,426873,-
YBR090C,chrII,426333,427058,-
YBR091C,chrII,427155,427484,-
YBR092C,chrII,427698,429101,-
YBR093C,chrII,429548,430951,-
YBR094W,chrII,432036,434297,+
YBR095C,chrII,434406,435698,-
YBR096W,chrII,436021,436713,+
YBR097W,chrII,436951,441315,+
YBR098W,chrII,441515,443590,+
YBR099C,chrII,442924,443307,-
YBR101C,chrII,443821,444693,-
YBR102C,chrII,445062,447323,-
YBR103W,chrII,447709,449316,+
YBR103C-A,chrII,449320,449463,-
YBR104W,chrII,449667,450656,+
YBR105C,chrII,450881,451969,-
YBR106W,chrII,452658,453224,+
YBR107C,chrII,453793,454530,-
YBR108W,chrII,454822,457665,+
YBR109C,chrII,457919,458362,-
YBR109W-A,chrII,458608,458832,+
YBR110W,chrII,458872,460221,+
YBR111C,chrII,461178,461873,-
YBR111W-A,chrII,462139,462579,+
YBR112C,chrII,462870,465770,-
YBR113W,chrII,465566,466048,+
YBR114W,chrII,467248,469620,+
YBR115C,chrII,469748,473926,-
YBR116C,chrII,474199,474726,-
YBR117C,chrII,474392,476437,-
YBR118W,chrII,477671,479047,+
YBR119W,chrII,479338,480323,+
YBR120C,chrII,480435,480923,-
YBR121C,chrII,481364,483367,-
YBR121C-A,chrII,482326,482484,-
YBR122C,chrII,483970,484503,-
YBR123C,chrII,484742,486691,-
YBR124W,chrII,486507,486866,+
YBR125C,chrII,487199,488380,-
YBR126C,chrII,488905,490392,-
YBR126W-A,chrII,490850,491056,+
YBR126W-B,chrII,490927,491070,+
YBR127C,chrII,491269,492822,-
YBR128C,chrII,493081,494115,-
YBR129C,chrII,494353,495339,-
YBR130C,chrII,495592,496869,-
YBR131W,chrII,497163,499277,+
YBR131C-A,chrII,497650,497739,-
YBR132C,chrII,499652,501442,-
YBR133C,chrII,501804,504287,-
YBR134W,chrII,504243,504644,+
YBR135W,chrII,504854,505306,+
YBR136W,chrII,505668,512774,+
YBR137W,chrII,513044,513583,+
YBR138C,chrII,513762,515336,-
YBR139W,chrII,515664,517190,+
YBR140C,chrII,517350,526628,-
YBR141C,chrII,527025,528038,-
YBR141W-A,chrII,527167,527262,+
YBR142W,chrII,528317,530638,+
YBR143C,chrII,530869,532182,-
YBR144C,chrII,533235,533549,-
YBR145W,chrII,533762,534817,+
YBR146W,chrII,535260,536096,+
YBR147W,chrII,536575,537465,+
YBR148W,chrII,537876,539705,+
YBR149W,chrII,539987,541021,+
YBR150C,chrII,541209,544493,-
YBR151W,chrII,545028,545978,+
YBR152W,chrII,546376,547251,+
YBR153W,chrII,547460,548194,+
YBR154C,chrII,548362,549009,-
YBR155W,chrII,549771,550928,+
YBR156C,chrII,551104,553200,-
YBR157C,chrII,553543,554310,-
YBR158W,chrII,556549,558198,+
YBR159W,chrII,558685,559728,+
YBR160W,chrII,560078,560974,+
YBR161W,chrII,561634,562764,+
YBR162C,chrII,563203,564570,-
YBR162W-A,chrII,565231,565428,+
YBR163W,chrII,565723,567480,+
YBR164C,chrII,567875,568426,-
YBR165W,chrII,568852,569685,+
YBR166C,chrII,569842,571200,-
YBR167C,chrII,571468,571890,-
YBR168W,chrII,572371,573612,+
YBR169C,chrII,573915,575996,-
YBR170C,chrII,576344,578086,-
YBR171W,chrII,578364,578984,+
YBR172C,chrII,579150,581372,-
YBR173C,chrII,581726,582172,-
YBR174C,chrII,582338,582652,-
YBR175W,chrII,582408,583355,+
YBR176W,chrII,583720,584658,+
YBR177C,chrII,584807,586162,-
YBR178W,chrII,586071,586445,+
YBR179C,chrII,586547,589114,-
YBR180W,chrII,589741,591459,+
YBR181C,chrII,591712,592774,-
YBR182C,chrII,593506,594864,-
YBR182C-A,chrII,595361,595555,-
YBR183W,chrII,596115,597065,+
YBR184W,chrII,597363,598934,+
YBR185C,chrII,599123,599959,-
YBR186W,chrII,600553,602360,+
YBR187W,chrII,602634,603476,+
YBR188C,chrII,603685,604107,-
YBR189W,chrII,604508,605508,+
YBR190W,chrII,605966,606277,+
YBR191W,chrII,606270,607140,+
YBR191W-A,chrII,607149,607223,+
YBR192W,chrII,607652,608785,+
YBR193C,chrII,609082,609753,-
YBR194W,chrII,610038,610409,+
YBR195C,chrII,610614,611882,-
YBR196C,chrII,612236,613900,-
YBR196C-A,chrII,614024,614173,-
YBR196C-B,chrII,614526,614630,-
YBR197C,chrII,615203,615856,-
YBR198C,chrII,616127,618523,-
YBR199W,chrII,618909,620303,+
YBR200W,chrII,620872,622527,+
YBR200W-A,chrII,622983,623147,+
YBR201W,chrII,623576,624211,+
YBR201C-A,chrII,624493,624696,-
YBR202W,chrII,625772,628309,+
YBR203W,chrII,629168,631942,+
YBR204C,chrII,632254,633381,-
YBR205W,chrII,633622,634836,+
YBR206W,chrII,634601,634924,+
YBR207W,chrII,635146,636543,+
YBR208C,chrII,636703,642210,-
YBR209W,chrII,642583,642900,+
YBR210W,chrII,645550,645978,+
YBR211C,chrII,646158,647132,-
YBR212W,chrII,647886,649904,+
YBR213W,chrII,650368,651192,+
YBR214W,chrII,651415,652998,+
YBR215W,chrII,653356,655317,+
YBR216C,chrII,655576,657600,-
YBR217W,chrII,657832,658392,+
YBR218C,chrII,658707,662249,-
YBR219C,chrII,662499,663303,-
YBR220C,chrII,662995,664677,-
YBR221C,chrII,665153,666253,-
YBR221W-A,chrII,666538,666642,+
YBR222C,chrII,666720,668351,-
YBR223C,chrII,668663,670297,-
YBR223W-A,chrII,668721,668840,+
YBR224W,chrII,670125,670640,+
YBR225W,chrII,670627,673329,+
YBR226C,chrII,673155,673565,-
YBR227C,chrII,673572,675134,-
YBR228W,chrII,675313,676227,+
YBR229C,chrII,676357,679221,-
YBR230C,chrII,679549,680050,-
YBR230W-A,chrII,680362,680562,+
YBR231C,chrII,682179,683090,-
YBR232C,chrII,683373,683732,-
YBR233W,chrII,683428,684669,+
YBR233W-A,chrII,684977,685261,+
YBR234C,chrII,685438,686592,-
YBR235W,chrII,686901,690263,+
YBR236C,chrII,690383,691693,-
YBR237W,chrII,691969,694518,+
YBR238C,chrII,695107,697302,-
YBR239C,chrII,698354,699943,-
YBR240C,chrII,700490,701842,-
YBR241C,chrII,702589,704055,-
YBR242W,chrII,704670,705386,+
YBR243C,chrII,705447,706793,-
YBR244W,chrII,707528,708016,+
YBR245C,chrII,708150,711539,-
YBR246W,chrII,711591,712754,+
YBR247C,chrII,713004,714455,-
YBR248C,chrII,714807,716465,-
YBR249C,chrII,716882,717994,-
YBR250W,chrII,719033,720604,+
YBR251W,chrII,721390,722313,+
YBR252W,chrII,722611,723054,+
YBR253W,chrII,723270,723635,+
YBR254C,chrII,723736,724263,-
YBR255W,chrII,724456,726540,+
YBR255C-A,chrII,726618,727074,-
YBR256C,chrII,727386,728102,-
YBR257W,chrII,728885,729724,+
YBR258C,chrII,729734,730162,-
YBR259W,chrII,730387,732453,+
YBR260C,chrII,732639,734639,-
YBR261C,chrII,734832,735530,-
YBR262C,chrII,735720,736040,-
YBR263W,chrII,736264,737736,+
YBR264C,chrII,737770,738369,-
YBR265W,chrII,738582,739544,+
YBR267W,chrII,739841,741022,+
YBR266C,chrII,739936,740388,-
YBR268W,chrII,741299,741616,+
YBR269C,chrII,742160,742576,-
YBR270C,chrII,742761,744398,-
YBR271W,chrII,744852,746111,+
YBR272C,chrII,746361,747803,-
YBR273C,chrII,748061,749371,-
YBR274W,chrII,749594,751177,+
YBR275C,chrII,751356,757106,-
YBR276C,chrII,757620,760043,-
YBR277C,chrII,760215,760616,-
YBR278W,chrII,760294,760899,+
YBR279W,chrII,761257,762594,+
YBR280C,chrII,762784,764697,-
YBR281C,chrII,764970,767606,-
YBR282W,chrII,768240,768680,+
YBR283C,chrII,768943,770415,-
YBR284W,chrII,771239,773632,+
YBR285W,chrII,773922,774356,+
YBR286W,chrII,774700,776313,+
YBR287W,chrII,776571,777854,+
YBR288C,chrII,778012,779463,-
YBR289W,chrII,779667,782384,+
YBR290W,chrII,782591,783556,+
YBR291C,chrII,783673,784572,-
YBR292C,chrII,784702,785073,-
YBR293W,chrII,787006,788430,+
YBR294W,chrII,789235,791814,+
YBR295W,chrII,792849,796499,+
YBR296C,chrII,796798,798522,-
YBR296C-A,chrII,800123,800242,-
YBR297W,chrII,800523,801929,+
YBR298C,chrII,802631,804475,-
YBR298C-A,chrII,805035,805256,-
YBR299W,chrII,805351,807105,+
YBR300C,chrII,808600,809097,-
YBR301W,chrII,809057,809419,+
YBR302C,chrII,810340,811479,-
YCL076W,chrIII,1392,2135,+
YCL073C,chrIII,6479,8326,-
YCL069W,chrIII,9706,11082,+
YCL068C,chrIII,11503,12285,-
YCL067C,chrIII,12386,13018,-
YCL066W,chrIII,13282,13809,+
YCL065W,chrIII,13751,14119,+
YCL064C,chrIII,15798,16880,-
YCL063W,chrIII,17290,18561,+
YCL061C,chrIII,18816,22106,-
YCL059C,chrIII,22429,23379,-
YCL058C,chrIII,23523,23981,-
YCL058W-A,chrIII,23584,23925,+
YCL057C-A,chrIII,24032,24325,-
YCL057W,chrIII,24768,26906,+
YCL056C,chrIII,26925,27359,-
YCL055W,chrIII,27929,28936,+
YCL054W,chrIII,31449,33974,+
YCL052C,chrIII,34143,35393,-
YCL051W,chrIII,35865,37616,+
YCL050C,chrIII,37836,38801,-
YCL049C,chrIII,39786,40724,-
YCL048W-A,chrIII,41488,41727,+
YCL048W,chrIII,42165,43556,+
YCL047C,chrIII,43661,44437,-
YCL045C,chrIII,44623,46905,-
YCL046W,chrIII,46640,46963,+
YCL044C,chrIII,47111,48364,-
YCL043C,chrIII,48653,50221,-
YCL041C,chrIII,50133,50627,-
YCL042W,chrIII,50584,50943,+
YCL040W,chrIII,50838,52340,+
YCL039W,chrIII,52645,54882,+
YCL038C,chrIII,54941,56527,-
YCL037C,chrIII,57374,58678,-
YCL036W,chrIII,59026,60726,+
YCL035C,chrIII,60841,61173,-
YCL034W,chrIII,61658,62722,+
YCL033C,chrIII,62776,63282,-
YCL032W,chrIII,63441,64481,+
YCL031C,chrIII,64675,65568,-
YCL030C,chrIII,65934,68333,-
YCL029C,chrIII,68599,69921,-
YCL028W,chrIII,70150,71367,+
YCL027W,chrIII,71803,73341,+
YCL026C-B,chrIII,73405,73986,-
YCL026C-A,chrIII,74704,75285,-
YCL025C,chrIII,76018,77919,-
YCL023C,chrIII,78949,79296,-
YCL024W,chrIII,79162,82275,+
YCL022C,chrIII,81570,82085,-
YCL021W-A,chrIII,83620,83997,+
YCL018W,chrIII,91324,92418,+
YCL017C,chrIII,92777,94270,-
YCL016C,chrIII,94621,95763,-
YCL014W,chrIII,96281,101191,+
YCL012C,chrIII,101317,101788,-
YCL011C,chrIII,102075,103358,-
YCL010C,chrIII,103571,104350,-
YCL009C,chrIII,104619,105548,-
YCL008C,chrIII,105696,106853,-
YCL007C,chrIII,106974,107366,-
YCL005W-A,chrIII,107023,107417,+
YCL005W,chrIII,108021,108791,+
YCL004W,chrIII,109105,110670,+
YCL002C,chrIII,110808,111675,-
YCL001W,chrIII,111916,112482,+
YCL001W-A,chrIII,113080,113541,+
YCL001W-B,chrIII,113770,114024,+
YCR001W,chrIII,115685,115999,+
YCR002C,chrIII,117380,118348,-
YCR003W,chrIII,118620,119171,+
YCR004C,chrIII,119575,120318,-
YCR005C,chrIII,120946,122328,-
YCR006C,chrIII,122530,123003,-
YCR007C,chrIII,126011,126730,-
YCR008W,chrIII,128470,130281,+
YCR009C,chrIII,130745,131542,-
YCR010C,chrIII,132273,133124,-
YCR011C,chrIII,133724,136873,-
YCR012W,chrIII,137746,138996,+
YCR013C,chrIII,138402,139049,-
YCR014C,chrIII,139185,140933,-
YCR015C,chrIII,141217,142170,-
YCR016W,chrIII,143634,144506,+
YCR017C,chrIII,144773,147634,-
YCR018C,chrIII,148238,148903,-
YCR018C-A,chrIII,151608,151862,-
YCR019W,chrIII,152837,153928,+
YCR020C,chrIII,154012,154659,-
YCR020C-A,chrIII,154830,155096,-
YCR020W-B,chrIII,155320,155556,+
YCR021C,chrIII,156109,157107,-
YCR022C,chrIII,157421,157765,-
YCR023C,chrIII,158538,160373,-
YCR024C,chrIII,160744,162222,-
YCR024C-B,chrIII,162599,162865,-
YCR024C-A,chrIII,162945,163067,-
YCR025C,chrIII,163446,163856,-
YCR026C,chrIII,164111,166339,-
YCR027C,chrIII,167370,167999,-
YCR028C,chrIII,170886,172424,-
YCR028C-A,chrIII,172950,173440,-
YCR030C,chrIII,173826,176438,-
YCR031C,chrIII,177500,178220,-
YCR032W,chrIII,179520,186023,+
YCR033W,chrIII,186489,190169,+
YCR034W,chrIII,190592,191635,+
YCR035C,chrIII,191834,193018,-
YCR036W,chrIII,193297,194298,+
YCR037C,chrIII,194414,197185,-
YCR038C,chrIII,197621,199549,-
YCR038W-A,chrIII,199293,199418,+
YCR039C,chrIII,199546,200178,-
YCR040W,chrIII,200442,200969,+
YCR041W,chrIII,200911,201243,+
YCR042C,chrIII,201174,205397,-
YCR043C,chrIII,206261,206644,-
YCR044C,chrIII,206877,207950,-
YCR045C,chrIII,208135,209610,-
YCR045W-A,chrIII,208751,209101,+
YCR046C,chrIII,209914,210423,-
YCR047C,chrIII,210718,211545,-
YCR047W-A,chrIII,211301,211507,+
YCR049C,chrIII,211871,212317,-
YCR048W,chrIII,211929,213761,+
YCR050C,chrIII,213464,213772,-
YCR051W,chrIII,214071,214739,+
YCR052W,chrIII,214994,216445,+
YCR053W,chrIII,216697,218241,+
YCR054C,chrIII,218376,220067,-
YCR057C,chrIII,220457,223228,-
YCR059C,chrIII,223454,224230,-
YCR060W,chrIII,224399,224734,+
YCR061W,chrIII,225563,227458,+
YCR064C,chrIII,228095,228505,-
YCR063W,chrIII,228318,228791,+
YCR065W,chrIII,229310,231004,+
YCR066W,chrIII,231500,232963,+
YCR067C,chrIII,233125,236322,-
YCR068W,chrIII,237214,238776,+
YCR069W,chrIII,239055,240011,+
YCR071C,chrIII,240103,240543,-
YCR072C,chrIII,240805,242352,-
YCR073C,chrIII,242588,246583,-
YCR073W-A,chrIII,246963,247910,+
YCR075C,chrIII,248033,248815,-
YCR075W-A,chrIII,248975,249202,+
YCR076C,chrIII,249293,250045,-
YCR077C,chrIII,250238,252628,-
YCR079W,chrIII,252845,254173,+
YCR081W,chrIII,254371,258654,+
YCR081C-A,chrIII,258415,258651,-
YCR082W,chrIII,258883,259269,+
YCR083W,chrIII,259578,259961,+
YCR084C,chrIII,260311,262452,-
YCR085W,chrIII,262916,263269,+
YCR086W,chrIII,263392,263964,+
YCR087W,chrIII,263976,264491,+
YCR087C-A,chrIII,264006,264467,-
YCR088W,chrIII,265068,266846,+
YCR089W,chrIII,267434,272263,+
YCR090C,chrIII,272315,272863,-
YCR091W,chrIII,274404,276566,+
YCR092C,chrIII,276764,279820,-
YCR093W,chrIII,280117,286443,+
YCR094W,chrIII,286762,287937,+
YCR095C,chrIII,288170,289258,-
YCR095W-A,chrIII,289639,289797,+
YCR096C,chrIII,293179,293538,-
YCR097W,chrIII,293835,294321,+
YCR097W-A,chrIII,294439,294705,+
YCR098C,chrIII,297049,298605,-
YCR099C,chrIII,300832,301299,-
YCR100C,chrIII,301271,302221,-
YCR101C,chrIII,302482,303030,-
YCR102C,chrIII,304361,305467,-
YCR102W-A,chrIII,306735,306932,+
YCR104W,chrIII,307801,308175,+
YCR105W,chrIII,309070,310155,+
YCR106W,chrIII,310958,313456,+
YCR107W,chrIII,313890,314981,+
