gene,domain_start,domain_end
YCL020W,17,114
YCL024W,23,284
YCL024W,921,1036
YCL025C,124,589
YCL026C-A,11,156
YCL026C-B,13,153
YCL027W,443,484
YCL029C,10,73
YCL030C,166,238
YCL030C,375,788
YCL030C,248,327
YCL031C,175,296
YCL032W,30,104
YCL032W,246,326
YCL033C,42,166
YCL035C,19,85
YCL037C,265,323
YCL038C,22,514
YCL039W,691,741
YCL039W,660,687
YCL040W,18,228
YCL040W,246,499
YCL043C,175,325
YCL043C,378,482
YCL043C,34,137
YCL044C,142,387
YCL044C,1,134
YCL045C,539,757
YCL047C,33,228
YCL050C,245,308
YCL052C,227,403
YCL054W,25,202
YCL054W,615,835
YCL054W,236,384
YCL055W,136,289
YCL057C-A,18,87
YCL057W,250,709
YCL061C,711,851
YCL064C,4,317
YCL066W,81,143
YCL067C,135,188
YCL069W,3,191
YCL073C,70,490
YCL074W,1,163
YCR002C,29,307
YCR003W,72,122
YCR004C,13,139
YCR005C,64,442
YCR007C,80,169
YCR008W,320,589
YCR009C,6,231
YCR010C,71,276
YCR011C,775,986
YCR011C,406,558
YCR012W,9,404
YCR014C,188,253
YCR014C,516,574
YCR014C,326,406
YCR016W,102,196
YCR017C,7,206
YCR018C,168,200
YCR019W,191,321
YCR020C,12,214
YCR020C-A,5,66
YCR021C,36,269
YCR023C,24,528
YCR024C,35,109
YCR024C,142,484
YCR024C-A,2,40
YCR026C,170,545
YCR027C,18,190
YCR028C,42,414
YCR028C-A,20,115
YCR030C,610,868
YCR031C,15,133
YCR032W,1443,1498
YCR032W,1558,1839
YCR033W,891,932
YCR033W,672,714
YCR034W,66,305
YCR035C,48,244
YCR036W,3,324
YCR037C,1,334
YCR037C,495,713
YCR038C,416,581
YCR044C,65,347
YCR045C,172,381
YCR046C,64,154
YCR047C,52,155
YCR047C,219,272
YCR048W,202,609
YCR051W,31,77
YCR053W,8,88
YCR053W,110,352
YCR054C,446,543
YCR057C,143,174
YCR057C,342,373
YCR057C,746,850
YCR057C,463,501
YCR057C,379,415
YCR057C,421,459
YCR059C,7,108
YCR059C,144,250
YCR060W,14,69
YCR061W,332,621
YCR061W,85,188
YCR063W,1,155
YCR065W,109,191
YCR066W,27,65
YCR066W,278,311
YCR067C,299,329
YCR068W,285,342
YCR069W,65,217
YCR071C,65,145
YCR072C,482,513
YCR072C,218,264
YCR072C,32,82
YCR072C,140,172
YCR072C,435,472
YCR072C,394,430
YCR072C,177,214
YCR072C,269,305
YCR073C,1035,1310
YCR073W-A,83,290
YCR075C,156,212
YCR075C,7,60
YCR075W-A,4,72
YCR076C,168,229
YCR077C,256,742
YCR077C,3,55
YCR079W,110,401
YCR081W,113,175
YCR083W,31,125
YCR084C,11,88
YCR084C,621,658
YCR084C,476,513
YCR084C,518,555
YCR084C,572,604
YCR084C,442,471
YCR084C,342,367
YCR084C,662,706
YCR086W,73,165
YCR087C-A,30,58
YCR088W,27,133
YCR088W,539,585
YCR089W,530,573
YCR089W,740,771
YCR089W,1077,1117
YCR089W,421,464
YCR089W,1141,1176
YCR090C,5,178
YCR091W,324,602
YCR092C,611,689
YCR092C,276,403
YCR092C,133,260
YCR092C,423,735
YCR092C,788,978
YCR093W,1718,2078
YCR093W,406,546
YCR093W,169,392
YCR093W,1086,1228
YCR093W,593,750
YCR093W,778,994
YCR094W,63,359
YCR095C,62,219
YCR096C,44,97
YCR097W,73,126
YCR098C,45,466
YCR099C,11,131
YCR100C,3,259
YCR101C,57,164
YCR102C,178,278
YCR102W-A,2,31
YCR104W,26,117
YCR105W,34,149
YCR105W,191,316
YCR106W,14,48
YCR107W,29,337
YDL001W,205,377
YDL002C,94,158
YDL003W,15,111
YDL003W,506,559
YDL004W,32,102
YDL005C,28,123
YDL006W,23,274
YDL007W,219,351
YDL008W,1,102
YDL010W,128,191
YDL014W,88,321
YDL015C,155,310
YDL017W,274,469
YDL017W,33,193
YDL018C,24,218
YDL019C,106,132
YDL019C,897,1268
YDL019C,291,386
YDL021W,12,93
YDL021W,199,279
YDL022W,234,379
YDL022W,36,201
YDL024C,67,400
YDL025C,306,575
YDL028C,440,716
YDL029W,2,386
YDL030W,318,529
YDL030W,280,305
YDL030W,170,252
YDL030W,3,148
YDL031W,161,325
YDL031W,431,527
YDL031W,820,879
YDL033C,28,407
YDL035C,610,685
YDL035C,54,279
YDL036C,196,345
YDL037C,2,141
YDL040C,548,736
YDL040C,199,510
YDL042C,262,478
YDL042C,105,261
YDL043C,67,90
YDL043C,135,250
YDL045C,56,231
YDL045W-A,30,63
YDL046W,43,168
YDL047W,47,239
YDL048C,304,326
YDL049C,27,129
YDL049C,163,263
YDL051W,34,88
YDL051W,144,194
YDL052C,63,191
YDL054C,37,428
YDL055C,2,229
YDL055C,261,293
YDL056W,23,88
YDL056W,397,454
YDL057W,69,172
YDL058W,364,715
YDL058W,1663,1786
YDL059C,47,200
YDL060W,486,779
YDL060W,235,311
YDL061C,7,56
YDL064W,8,148
YDL065C,68,342
YDL066W,22,416
YDL070W,150,226
YDL070W,326,411
YDL070W,519,576
YDL072C,1,201
YDL073W,422,541
YDL074C,443,535
YDL074C,647,690
YDL075W,6,87
YDL076C,140,252
YDL077C,905,1017
YDL077C,603,715
YDL078C,146,336
YDL078C,2,144
YDL079C,166,447
YDL080C,418,529
YDL080C,17,188
YDL080C,212,337
YDL081C,20,105
YDL082W,9,175
YDL083C,11,143
YDL084W,293,401
YDL084W,87,254
YDL085C-A,1,35
YDL085W,99,428
YDL086W,31,230
YDL087C,10,249
YDL088C,258,399
YDL089W,230,314
YDL090C,180,223
YDL090C,232,272
YDL090C,278,321
YDL090C,330,374
YDL090C,129,171
YDL091C,355,451
YDL092W,7,120
YDL093W,340,500
YDL093W,529,723
YDL093W,51,293
YDL095W,344,507
YDL095W,55,296
YDL095W,533,727
YDL097C,298,400
YDL098C,80,104
YDL100C,18,335
YDL101C,202,480
YDL101C,56,128
YDL102W,540,973
YDL102W,1009,1080
YDL102W,143,482
YDL103C,102,410
YDL104C,61,368
YDL105W,306,401
YDL105W,103,159
YDL106C,78,134
YDL108W,7,290
YDL109C,190,384
YDL111C,184,253
YDL111C,30,155
YDL112W,1286,1428
YDL113C,157,296
YDL114W,40,228
YDL115C,152,220
YDL116W,66,721
YDL119C,11,90
YDL119C,115,200
YDL119C,223,306
YDL120W,70,172
YDL122W,102,735
YDL123W,12,60
YDL124W,22,287
YDL125C,33,124
YDL126C,751,783
YDL126C,36,116
YDL126C,524,657
YDL126C,251,380
YDL126C,136,198
YDL127W,48,145
YDL128W,60,219
YDL128W,253,394
YDL130W,19,105
YDL130W-A,34,86
YDL131W,37,296
YDL132W,746,807
YDL132W,15,692
YDL133C-A,1,25
YDL134C,111,302
YDL135C,12,201
YDL136W,8,60
YDL137W,6,176
YDL138W,104,559
YDL139C,92,141
YDL140C,1648,1661
YDL140C,1676,1689
YDL140C,1634,1647
YDL140C,1606,1619
YDL140C,1662,1675
YDL140C,1564,1577
YDL140C,12,340
YDL140C,695,800
YDL140C,342,507
YDL140C,807,1396
YDL140C,1592,1605
YDL140C,510,669
YDL140C,1690,1703
YDL140C,873,1056
YDL140C,1141,1274
YDL140C,1578,1591
YDL140C,1620,1633
YDL140C,1550,1563
YDL140C,1704,1717
YDL141W,386,553
YDL141W,623,682
YDL141W,1,374
YDL142C,69,133
YDL143W,31,524
YDL144C,208,333
YDL144C,4,177
YDL145C,86,123
YDL145C,44,81
YDL145C,204,236
YDL145C,246,281
YDL145C,129,165
YDL145C,832,1199
YDL145C,343,770
YDL146W,235,372
YDL147W,297,404
YDL148C,378,793
YDL148C,49,360
YDL149W,417,779
YDL150W,302,422
YDL153C,535,608
YDL154W,639,843
YDL154W,252,576
YDL155W,171,296
YDL155W,299,412
YDL156W,336,362
YDL159W,193,465
YDL160C,71,235
YDL160C,271,378
YDL160C-A,5,80
YDL161W,16,139
YDL164C,623,732
YDL164C,393,598
YDL164C,147,323
YDL165W,55,188
YDL166C,10,130
YDL167C,355,384
YDL167C,581,609
YDL168W,37,163
YDL168W,208,336
YDL170W,121,528
YDL170W,15,53
YDL171C,517,807
YDL171C,1319,1507
YDL171C,869,1239
YDL171C,1661,1770
YDL171C,54,478
YDL171C,1785,2106
YDL173W,11,77
YDL174C,151,290
YDL174C,327,574
YDL175C,163,179
YDL175C,61,78
YDL175C,100,116
YDL177C,21,163
YDL178W,103,239
YDL178W,277,528
YDL179W,46,145
YDL181W,15,85
YDL182W,23,282
YDL183C,43,241
YDL185W,284,736
YDL185W,585,690
YDL185W,479,574
YDL185W,106,228
YDL185W,237,916
YDL185W,28,90
YDL188C,119,310
YDL189W,28,74
YDL190C,881,953
YDL190C,217,865
YDL192W,6,176
YDL194W,102,556
YDL195W,1141,1266
YDL195W,899,946
YDL195W,248,286
YDL195W,102,137
YDL195W,514,679
YDL198C,118,200
YDL198C,208,291
YDL199C,127,556
YDL200C,5,95
YDL200C,100,179
YDL201W,96,274
YDL202W,49,156
YDL203C,468,487
YDL203C,408,444
YDL203C,362,399
YDL203C,536,569
YDL203C,496,528
YDL203C,580,610
YDL203C,319,361
YDL204W,33,186
YDL205C,6,222
YDL205C,235,310
YDL206W,592,755
YDL206W,37,199
YDL207W,259,499
YDL208W,42,132
YDL209C,157,204
YDL209C,4,114
YDL210W,74,521
YDL212W,6,190
YDL214C,365,653
YDL215C,714,986
YDL216C,67,189
YDL217C,42,186
YDL218W,9,151
YDL219W,2,147
YDL220C,511,655
YDL220C,16,241
YDL222C,9,204
YDL224C,535,606
YDL225W,124,342
YDL226C,14,118
YDL227C,2,461
YDL227C,309,421
YDL228C,91,213
YDL229W,9,610
YDL230W,53,324
YDL231C,866,1064
YDL231C,724,855
YDL232W,1,33
YDL233W,150,393
YDL234C,507,655
YDL235C,32,89
YDL236W,27,130
YDL236W,227,303
YDL238C,91,486
YDL239C,655,788
YDL240W,755,907
YDL240W,28,94
YDL240W,419,477
YDL243C,3,295
YDL244W,16,238
YDL245C,63,523
YDL246C,31,141
YDL246C,181,315
YDL247W,102,560
YDL248W,68,167
YDL248W,256,353
YDR001C,106,135
YDR001C,163,721
YDR002W,75,196
YDR003W,40,152
YDR004W,100,282
YDR005C,25,337
YDR006C,390,892
YDR007W,25,221
YDR009W,415,490
YDR009W,150,217
YDR009W,29,76
YDR011W,872,1022
YDR011W,722,809
YDR011W,177,336
YDR011W,84,153
YDR011W,1170,1382
YDR011W,502,710
YDR012W,21,260
YDR012W,273,346
YDR013W,28,128
YDR014W,253,636
YDR016C,19,72
YDR017C,759,956
YDR018C,94,276
YDR018C,295,352
YDR019C,21,280
YDR019C,295,390
YDR020C,32,179
YDR021W,252,360
YDR021W,48,214
YDR022C,2,196
YDR023W,232,419
YDR023W,1,112
YDR026C,348,408
YDR028C,173,204
YDR030C,192,224
YDR030C,60,84
YDR031W,10,53
YDR031W,59,102
YDR032C,18,141
YDR033W,35,263
YDR034C,158,194
YDR034C,359,773
YDR034C-C,17,114
YDR034C-D,659,777
YDR034C-D,579,641
YDR034C-D,1295,1495
YDR034C-D,17,114
YDR034W-B,12,48
YDR035W,47,354
YDR036C,48,391
YDR037W,225,576
YDR037W,124,209
YDR038C,96,241
YDR038C,17,85
YDR038C,460,573
YDR038C,638,769
YDR038C,846,1044
YDR038C,277,358
YDR039C,638,769
YDR039C,96,241
YDR039C,277,358
YDR039C,460,573
YDR039C,17,85
YDR039C,846,1044
YDR040C,846,1044
YDR040C,96,241
YDR040C,460,573
YDR040C,17,85
YDR040C,638,769
YDR040C,277,358
YDR041W,45,140
YDR044W,15,327
YDR045C,2,37
YDR045C,67,108
YDR046C,94,556
YDR047W,8,358
YDR050C,6,244
YDR051C,193,314
YDR052C,656,700
YDR052C,189,310
YDR054C,14,162
YDR057W,116,193
YDR058C,131,193
YDR059C,6,142
YDR060W,597,761
YDR061W,322,485
YDR061W,119,189
YDR062W,156,515
YDR063W,14,143
YDR064W,74,146
YDR064W,1,60
YDR066C,55,114
YDR067C,3,179
YDR068W,179,233
YDR069C,208,320
YDR069C,562,920
YDR071C,27,157
YDR072C,180,311
YDR072C,437,483
YDR074W,62,540
YDR074W,575,820
YDR075W,45,236
YDR076W,18,139
YDR079C-A,1,65
YDR079W,14,82
YDR080W,754,898
YDR081C,75,135
YDR081C,199,406
YDR082W,11,260
YDR082W,363,489
YDR083W,113,344
YDR084C,15,156
YDR086C,27,76
YDR087C,5,243
YDR088C,166,349
YDR090C,8,63
YDR091C,374,496
YDR091C,101,249
YDR091C,7,37
YDR091C,50,71
YDR092W,7,143
YDR093W,228,278
YDR093W,1199,1449
YDR093W,821,926
YDR093W,444,669
YDR096W,192,307
YDR096W,13,46
YDR097C,620,910
YDR097C,463,596
YDR097C,312,426
YDR097C,780,870
YDR097C,979,1167
YDR098C,14,101
YDR098C,163,226
YDR098C-A,17,114
YDR098C-B,1280,1480
YDR098C-B,17,114
YDR098C-B,663,781
YDR099W,11,234
YDR100W,7,134
YDR101C,27,165
YDR103W,287,316
YDR103W,594,783
YDR104C,1032,1228
YDR104C,32,93
YDR105C,18,467
YDR106W,39,145
YDR107C,68,626
YDR108W,224,664
YDR109C,340,550
YDR109C,40,309
YDR111C,112,487
YDR113C,9,356
YDR115W,63,105
YDR116C,96,278
YDR117C,366,428
YDR117C,472,549
YDR118W,224,406
YDR119W,259,666
YDR120C,33,490
YDR122W,121,398
