,median_tAI,median_deltaG,dlogPPR_dtAI,dlogPPR_ddeltaG
YBR011C,0.5997246040331647,-0.30062,1.1377788716,-0.9053250904969385
YBR015C,0.3994737651814827,-0.6364500000000001,1.9095766610000002,-0.44511261766477983
YBR024W,0.3790671236469279,-0.34816,1.2470343488,-0.3982144822228968
YBR025C,0.5756169237935971,-0.41766000000000003,1.4067578588,-0.8499213019239689
YBR029C,0.3975463101984139,-0.6204299999999999,1.8727598173999997,-0.4406829791717909
YBR037C,0.3566128412048191,-0.33217,1.2102864506,-0.34661049940009114
YBR039W,0.5177117711636535,-0.33703,1.2214556053999999,-0.7168448382528851
YBR041W,0.4212305793426033,-0.68577,2.0229228986,-0.495113692833584
YBR046C,0.40688006922535896,-0.32006,1.1824554908,-0.4621336374923355
YBR052C,0.4182452739474564,-0.23084,0.9774118712,-0.4882529236805654
YBR054W,0.5335178870025109,-0.48364999999999997,1.558414757,-0.7531701375514304
YBR059C,0.39123004415064117,-1.0273449999999997,2.807923732099999,-0.4261670628661205
YBR072W,0.5234019344821756,-0.27982,1.0899767276,-0.7299218577882465
YBR078W,0.5638132758161432,-0.435525,1.4478148445,-0.8227943942151439
YBR079C,0.5258580102500404,-0.89188,2.4966007784,-0.7355663619964379
YBR080C,0.42132369655449303,-0.736855,2.1403254239,-0.4953276929476048
YBR082C,0.4491033147051803,-0.18209999999999998,0.865398578,-0.5591702557891511
YBR084W,0.4265700165035496,-1.0359450000000001,2.8276880801,-0.5073846805281276
YBR085C-A,0.4471270258120088,-0.177755,0.8554129858999999,-0.5546283881806424
YBR086C,0.4029808128433654,-0.887795,2.4872127131,-0.4531724444603654
YBR087W,0.3660504744643175,-0.33258,1.2112287043999999,-0.3682998794044051
YBR093C,0.5088371338344111,-0.46381,1.5128188658000001,-0.6964493242355669
YBR096W,0.4159158419808423,-0.24605000000000002,1.0123671890000001,-0.48289946972353215
YBR106W,0.5451579052563473,-0.22652,0.9674837336,-0.7799209947020322
YBR109C,0.4385141862060298,-0.18875999999999998,0.8807044568,-0.5348345324549735
YBR115C,0.4379138003624255,-1.4114699999999998,3.690712124599999,-0.533454737716919
YBR120C,0.3952717889491735,-0.15191000000000002,0.7960165238000001,-0.43545571992721144
YBR121C,0.546249466845351,-0.703395,2.0634283211,-0.7824295997146489
YBR122C,0.3937824584607337,-0.22294,0.9592562492000001,-0.4320329703852889
YBR126C,0.4093653852230956,-0.5495099999999999,1.7097728918,-0.4678453410120139
YBR127C,0.5177894286170479,-0.563875,1.7427862475,-0.7170233090591271
YBR143C,0.5026527717750217,-0.425525,1.4248330445,-0.6822365470379192
YBR146W,0.3537648016169237,-0.32105,1.184730689,-0.34006519177998173
YBR149W,0.4429027266565313,-0.35658999999999996,1.2664080061999998,-0.544920188347507
YBR154C,0.4746846192221443,-0.22197999999999998,0.9570499963999999,-0.6179606982039476
YBR159W,0.4440790316857326,-0.379895,1.3199670910999999,-0.5476235490395169
YBR160W,0.4088595148792593,-0.31133,1.1623923794,-0.4666827599052161
YBR164C,0.4151814450461657,-0.22696,0.9684949327999999,-0.48121169337619707
YBR166C,0.3837896975052581,-0.44218999999999997,1.4631322142,-0.409067807012634
YBR169C,0.44433019966401655,-0.68636,2.0242788247999997,-0.5482007782638496
YBR171W,0.4043767498640271,-0.21358000000000002,0.9377452844,-0.45638055900250984
YBR192W,0.36303478700242736,-0.46713499999999997,1.5204603143,-0.36136928679323854
YBR196C,0.6023887693571436,-0.6139600000000001,1.8578905928000002,-0.9114478219612001
YBR199W,0.37591993048579536,-0.486705,1.5654356969,-0.3909816658438452
YBR202W,0.3931770317448363,-0.8817650000000001,2.4733546877,-0.4306415908153479
YBR207W,0.37082737769891777,-0.49441,1.5831431738000001,-0.3792780628800988
YBR210W,0.3347520713554036,-0.17834999999999998,0.8567804029999999,-0.2963705153475614
YBR214W,0.3782497380106409,-0.5530499999999999,1.7179084489999998,-0.3963359829012947
YBR218C,0.4836917034460403,-1.32927,3.5018017285999994,-0.6386605990256209
YBR221C,0.5018333898227532,-0.48737,1.5669639866,-0.6803534598228549
YBR222C,0.4258224355307768,-0.62301,1.8786891218,-0.5056666048881207
YBR227C,0.4160334856838052,-0.476985,1.5430973873,-0.4831698361288075
YBR230C,0.3887648046709545,-0.11991,0.7224747638,-0.42050149879869414
YBR234C,0.4180079455395668,-0.42407,1.4214891926,-0.48770750028012166
YBR241C,0.35992780950213504,-0.59938,1.8243831284,-0.35422889324161666
YBR247C,0.4273737405374545,-0.48336,1.5577482848,-0.5092317830283672
YBR249C,0.5507661876739373,-0.44724,1.4747380232,-0.7928098371884891
YBR251W,0.3798083063119629,-0.31253,1.1651501953999999,-0.39991785340002683
YBR262C,0.3497394412984333,-0.14012,0.7689209816,-0.33081418920323347
YBR265W,0.38642132814112096,-0.38625,1.334572025,-0.4151157679073614
YBR268W,0.3025012366433553,-0.13419,0.7552927742,-0.2222522920290263
YBR282W,0.3943704761994233,-0.14402,0.7778838836,-0.4333843409919905
YBR283C,0.4739642369561624,-0.53815,1.683665567,-0.6163051300879132
YBR286W,0.49925452929371095,-0.5418999999999999,1.6922837419999999,-0.6744267741322205
YBR287W,0.3993909995946212,-0.43181,1.4392771058,-0.44492240744836653
YBR291C,0.37069821687725013,-0.34031,1.2289936358,-0.37898122806295864
YBR296C,0.4639709761999736,-0.64006,1.9178730908,-0.5933388180832553
YCL009C,0.4395661422066393,-0.34998,1.2512170364,-0.5372521166964543
YCL011C,0.40721796362266427,-0.47216,1.5320086688,-0.4629101796383346
YCL017C,0.4346101492922225,-0.5638650000000001,1.7427632657,-0.5258623529004
YCL034W,0.32808789994529663,-0.45515999999999995,1.4929396088,-0.28105504989628183
YCL035C,0.4569573760917149,-0.12596,0.7363787528,-0.5772203025864573
YCL037C,0.4720885687193401,-0.40686,1.3819375148,-0.611994506859413
YCL040W,0.4037730265682582,-0.6699200000000001,1.9864967456000002,-0.45499309419863965
YCL043C,0.517044016769372,-0.5593899999999999,1.7324789101999998,-0.7153102184590352
YCL045C,0.39632698061508825,-0.69465,2.043330737,-0.4378807403099835
YCL050C,0.4780267526639727,-0.30187,1.1406515966000002,-0.6256415224372889
YCL057C-A,0.42254256335843055,-0.12502,0.7342184636,-0.4981288682590779
YCR002C,0.4114194113861389,-0.28576999999999997,1.1036508986,-0.4725658628593967
YCR004C,0.4315890632431537,-0.33462000000000003,1.2159169916,-0.518919353364151
YCR005C,0.4185198424656484,-0.49108999999999997,1.5755132161999998,-0.4888839315577038
YCR008W,0.3861823252196215,-0.66028,1.9643422903999999,-0.4145664961732297
YCR009C,0.43702595766571706,-0.2602,1.0448864359999999,-0.5314143153881976
YCR011C,0.36365664518317564,-1.0339850000000002,2.8231836473,-0.3627984288270706
YCR012W,0.6616970758284895,-0.53535,1.677230663,-1.047748985727518
YCR028C,0.37337387685578527,-0.6090699999999999,1.8466524925999999,-0.3851303763124285
YCR028C-A,0.5340287044436987,-0.16491,0.8258928638,-0.7543440879784193
YCR030C,0.3939212532853275,-0.78955,2.261428019,-0.4323519458752739
YCR043C,0.3754353065451273,-0.16082,0.8164933076,-0.3898679127958806
YCR046C,0.3652983069066048,-0.21791999999999997,0.9477193855999999,-0.366571262966621
YCR047C,0.3452600691643631,-0.39008,1.3433740544,-0.3205197857521559
YCR069W,0.3954006719396849,-0.36951999999999996,1.2961234735999998,-0.4357519162383451
YCR073W-A,0.3454756976124484,-0.39723,1.3598060414,-0.3210153387389766
YCR077C,0.4243193401714416,-0.82587,2.3448979166,-0.5022122211952036
YCR079W,0.3175736927937547,-0.552315,1.7162192867000001,-0.25689150930475113
YCR088W,0.4543310737357488,-0.6067100000000001,1.8412287878000002,-0.5711845870380232
YCR090C,0.39096809240027597,-0.18281999999999998,0.8670532676,-0.4255650505924662
YCR093W,0.40720223153434454,-1.83878,4.6727474204,-0.46287402446759995
YDL004W,0.4399624548949865,-0.20934999999999998,0.9280239829999999,-0.53816291459056
YDL007W,0.40850757464279375,-0.41686,1.4049193148,-0.4658739378925757
YDL014W,0.5749620324749314,-0.44470000000000004,1.468900646,-0.8484162437932377
YDL015C,0.4413781067791532,-0.330175,1.2057015815,-0.5414163374377141
YDL018C,0.36610707046480495,-0.23623,0.9897990614000001,-0.36842994720080546
YDL019C,0.3957096246996159,-1.28547,3.4011414445999995,-0.4364619452921632
YDL022W,0.535608551723213,-0.44414,1.4676136652,-0.7579748613992536
YDL025C,0.3860304031918415,-0.6210249999999999,1.8741272345,-0.41421735200742626
YDL029W,0.433721661588246,-0.428885,1.4325549293,-0.5238204482288752
YDL031W,0.4364295457262159,-0.92334,2.5689015212,-0.5300436533970747
YDL040C,0.4304121856363473,-0.8113250000000001,2.3114708885,-0.5162146767857406
YDL044C,0.40068684243364106,-0.38655,1.335261479,-0.44790048754414513
YDL047W,0.3680166791957356,-0.3975,1.3604265500000001,-0.37281857179405564
YDL049C,0.3537022083503708,-0.35972000000000004,1.2736013096,-0.3399213411866552
YDL052C,0.43068786995951935,-0.31741,1.1763653138,-0.5168482489835682
YDL055C,0.5889296563714784,-0.4587,1.5010751660000001,-0.8805163576798043
YDL060W,0.4307096399226501,-0.7711399999999999,2.2191185252,-0.516898280277436
YDL066W,0.4904759687834612,-0.45769,1.4987540042,-0.6542520619387748
YDL073W,0.3660676546424812,-0.88051,2.4704704717999997,-0.36833936254625743
YDL078C,0.3966485278317488,-0.37092,1.2993409256000001,-0.4386197136923684
YDL081C,0.6555470802079075,-0.14712,0.7850082415999999,-1.033615188792209
YDL082W,0.6202360976258403,-0.22702,0.9686328235999999,-0.9524641948417536
YDL084W,0.5191859382213709,-0.48061000000000004,1.5514282898,-0.7202327395015902
YDL092W,0.4095210513212222,-0.15408000000000002,0.8010035744,-0.46820308972540636
YDL095W,0.4276689732358424,-0.87199,2.4508899781999998,-0.5099102809111483
YDL097C,0.3907937491991319,-0.4129,1.395818522,-0.4251643785344609
YDL100C,0.4921511934330043,-0.34282999999999997,1.2347850494,-0.6581020297238618
YDL108W,0.3794810765179955,-0.30295,1.143133631,-0.3991658204321269
YDL110C,0.44412653239549615,-0.19481,0.8946084458000001,-0.5477327142206814
YDL116W,0.3868008702718163,-0.6439600000000001,1.9268359928000003,-0.41598802404128277
YDL122W,0.4268051669414218,-0.705935,2.0692656982999997,-0.5079250985614367
YDL125C,0.4487911799729048,-0.250925,1.0235708165,-0.5584529139901304
YDL126C,0.5042039858784245,-0.89364,2.5006455751999996,-0.6858015162660775
YDL128W,0.3904571047238473,-0.45729000000000003,1.4978347322,-0.42439070893425135
YDL130W,0.6498668713573275,-0.13026,0.7462609268,-1.0205610464159827
YDL131W,0.4788481078266287,-0.46981,1.5266079458000001,-0.6275291444450015
YDL132W,0.41164361665454297,-0.7946799999999999,2.2732176824,-0.47308112692313753
YDL134C,0.3681982046136566,-0.5161849999999999,1.6331860432999998,-0.3732357498790133
YDL135C,0.41812718953670697,-0.22979,0.9749987821999999,-0.4879815444494692
YDL137W,0.5127839387660584,-0.33208,1.2100796144,-0.70551979239338
YDL140C,0.4200156998477975,-1.6790999999999998,4.305774037999999,-0.4923216810762113
YDL143W,0.4413881646497185,-0.57609,1.7708585162,-0.5414394522346899
YDL145C,0.44903341408047726,-1.24625,3.3110068249999998,-0.5590096115714711
YDL146W,0.3833475639762908,-0.48911,1.5709628198,-0.40805170457903195
YDL147W,0.4201212605807041,-0.40631,1.3806735158,-0.49256427864136254
YDL160C,0.4283034405463281,-0.50195,1.600471451,-0.5113684009947602
YDL164C,0.39856259539053474,-0.768905,2.2139820929,-0.44301858547461914
YDL168W,0.4510545220237093,-0.4225,1.4178810499999999,-0.5636544814244482
YDL171C,0.4686376848219214,-2.23992,5.5946393456,-0.6040637545040433
YDL174C,0.4261135938516019,-0.6554449999999999,1.9532305900999998,-0.5063357391178744
YDL181W,0.3985227475316049,-0.1171,0.716016878,-0.44292700792218365
YDL182W,0.4776868755514513,-0.46484000000000003,1.5151859912,-0.6248604236548343
YDL190C,0.40774938471931454,-0.91167,2.5420817606,-0.4641314809742343
YDL192W,0.5342223526432722,-0.18987,0.8832554366,-0.7547891263977153
YDL195W,0.4198196213379145,-1.2237199999999997,3.259228829599999,-0.4918710573663684
YDL198C,0.4261626075444723,-0.3525,1.2570084499999998,-0.5064483814065553
YDL202W,0.3717406357786713,-0.25101,1.0237661618,-0.3813768943338267
YDL204W,0.4147885369514913,-0.47126,1.5299403068000001,-0.4803087198511783
YDL208W,0.5484238138452536,-0.16463,0.8252493733999999,-0.7874266405028849
YDL213C,0.46172895059062313,-0.20326499999999997,0.9140395577,-0.5881862396683581
YDL215C,0.43111922494960886,-1.0846999999999998,2.939735845999999,-0.517839580394692
YDL225W,0.4387911855456597,-0.47945499999999996,1.5487738919,-0.5354711267973242
YDL226C,0.37288786104209876,-0.37771000000000005,1.3149455678000002,-0.3840134244897305
YDL229W,0.6550807416646707,-0.66806,1.9822221307999999,-1.0325434588789129
YDL238C,0.35727944366282977,-0.5375,1.68217175,-0.34814247183704206
YDL240W,0.3708064304676629,-0.94047,2.6082693445999996,-0.37922992237217346
YDR001C,0.4014623204863089,-0.784145,2.2490063560999998,-0.44968267569522546
YDR005C,0.36218515129713347,-0.40914,1.3871773652,-0.3594166710080462
YDR009W,0.36551294283272057,-0.55375,1.719517175,-0.3670645349593017
YDR011W,0.40418451640722197,-1.580935,4.0801731983,-0.45593877191674936
YDR019C,0.3853778088962602,-0.44491,1.4693832638000002,-0.4127175728492073
YDR023W,0.5248527759838592,-0.46529000000000004,1.5162201722000002,-0.7332561527105854
YDR032C,0.5218808993526607,-0.258405,1.0407612029,-0.7264262452742978
YDR034C,0.3641505886948225,-0.7333099999999999,2.1321783757999997,-0.3639335999266671
YDR035W,0.4735322220130162,-0.43061,1.4365192897999999,-0.6153122819858736
YDR037W,0.5272532838751024,-0.5791900000000001,1.7779828742000001,-0.7387729519360828
YDR041W,0.3717757177060382,-0.21534,0.9417900812,-0.3814575189176628
YDR050C,0.6390013664825476,-0.27302,1.0743491036,-0.9955901604228612
YDR051C,0.400808325089117,-0.33386,1.2141703748,-0.4481796765533069
YDR056C,0.4083563343017887,-0.21191,0.9339073238,-0.46552636036568473
YDR060W,0.4259649658665642,-0.8824299999999999,2.4748829773999996,-0.5059941652552205
YDR062W,0.42046056726175646,-0.6246900000000001,1.8825500642000002,-0.4933440664696235
YDR064W,0.6414413813054384,-0.15800999999999998,0.8100354218,-1.0011977536885324
YDR069C,0.36564827173129344,-0.83845,2.373809021,-0.367375545127424
YDR071C,0.4515122160024416,-0.19192,0.8879667056,-0.5647063445724914
YDR074W,0.4309166090130937,-0.91655,2.553296879,-0.5173739325017116
YDR084C,0.34793681385316555,-0.22181499999999998,0.9566707966999999,-0.326671426861068
YDR086C,0.5481939384386404,-0.13274,0.7519604132,-0.7868983454409146
YDR091C,0.4919526943165414,-0.6607000000000001,1.9653075260000001,-0.657645843024389
YDR092W,0.3862594896818285,-0.16986,0.8372688548,-0.41474383399698456
YDR099W,0.5196653469056328,-0.48709,1.5663204962000001,-0.7213345069515873
YDR101C,0.4476289681469809,-0.56292,1.7405914856,-0.5557819420160286
YDR116C,0.3580335015397788,-0.28422000000000003,1.1000887196,-0.3498754325686888
YDR117C,0.4157584876443417,-0.489635,1.5721693643,-0.4825378411344732
YDR119W-A,0.4126159362441361,-0.06956,0.6067614008,-0.47531569235754867
YDR120C,0.3958622806990225,-0.571,1.75916078,-0.43681277625687953
YDR127W,0.4363626948670648,-1.64521,4.2278887178,-0.5298900180895909
YDR129C,0.4547902109837817,-0.67838,2.0059393483999997,-0.5722397670787074
YDR135C,0.3956871655528658,-1.4730699999999999,3.8322800125999996,-0.4364103301302852
YDR148C,0.4753551365455555,-0.5497000000000001,1.7102095460000002,-0.6195016677062648
YDR152W,0.4389194591151193,-0.23704,0.9916605871999999,-0.5357659225491849
YDR153C,0.41430265042624026,-0.37287,1.3038223765999999,-0.47919206515657686
YDR155C,0.614180863067524,-0.20821,0.9254040578,-0.9385481758845222
YDR158W,0.5265140114529896,-0.41636,1.4037702248,-0.7370739708410317
YDR164C,0.4049639212145145,-0.6791900000000001,2.0078008742,-0.45772998445677293
YDR170C,0.4169929733347743,-1.9224499999999998,4.865036140999999,-0.48537491145851164
YDR171W,0.43029428176094775,-0.36913999999999997,1.2952501652,-0.5159437124573749
YDR172W,0.49547675349739845,-0.67879,2.0068816022,-0.6657447653526511
YDR174W,0.5035708572140106,-0.28311000000000003,1.0975377398000001,-0.6843464726320949
YDR175C,0.3826317457090321,-0.33343,1.2131821574,-0.4064066253535833
YDR177W,0.4010574240796253,-0.217995,0.9478917491000001,-0.44875215087131326
YDR178W,0.4244823586344231,-0.28543999999999997,1.1028924992,-0.5025868669664584
YDR182W,0.3587941236353604,-0.46812,1.5227240216,-0.3516234790563125
YDR188W,0.43004764057915723,-0.661505,1.9671575609,-0.5153768866262075
YDR189W,0.4282915934157324,-0.60916,1.8468593288000001,-0.5113411741561679
YDR190C,0.4352913307486687,-0.45807,1.4996273126,-0.5274278304999755
YDR194C,0.44438005492790755,-0.6041449999999999,1.8353339561,-0.5483153546342185
YDR204W,0.37390348737649015,-0.39881,1.3634371658,-0.3863475166189021
YDR211W,0.4390605286688416,-0.7001,2.055855818,-0.5360901257761583
YDR212W,0.4644154072997925,-0.59784,1.8208439312,-0.5943602007482371
YDR214W,0.4221731050531111,-0.39191999999999994,1.3476027055999997,-0.49727978657095884
YDR217C,0.35234714124924615,-1.129265,3.0421542376999997,-0.33680715307619247
YDR224C,0.6149287211587121,-0.11842,0.7190504756,-0.9402668883925289
YDR226W,0.5820688366481102,-0.25939999999999996,1.043047892,-0.8647489590079538
YDR227W,0.3646763819314094,-1.1474000000000002,3.083831732,-0.36514196742712646
YDR231C,0.37424318245989,-0.25899,1.0421056382,-0.38712819706567003
YDR232W,0.4327311205590584,-0.69571,2.0457668078,-0.5215440066464168
YDR233C,0.5104532850899476,-0.262975,1.0512638855,-0.7001635307280156
YDR234W,0.4145541573811066,-0.84939,2.3989511101999996,-0.4797700734101116
YDR237W,0.3859462690080878,-0.34889,1.2487120202,-0.41402399650900723
YDR238C,0.4311419877584149,-0.9770800000000001,2.6924057144,-0.5178918934266339
YDR239C,0.3539697367920805,-0.705,2.0671169,-0.34053616970082357
YDR254W,0.3385360118874352,-0.41635500000000003,1.4037587339,-0.3050666917994658
YDR258C,0.4293446210895201,-0.76035,2.1943211629999997,-0.5137612212955133
YDR264C,0.3529069369845119,-0.83151,2.3578596517999997,-0.33809366443906563
YDR280W,0.38092034011104037,-0.34012,1.2285569816,-0.40247350723639075
YDR284C,0.37481073051620184,-0.36028,1.2748882903999998,-0.3884325246577247
YDR292C,0.4001883131868836,-0.5919300000000001,1.8072616874000003,-0.44675477759983206
YDR293C,0.42369073742063057,-1.26149,3.3460310881999997,-0.5007675789253447
YDR294C,0.3990222274101477,-0.60263,1.8318522134,-0.44407490258945326
YDR296W,0.3516781095126931,-0.26163,1.0481728334,-0.3352695977198811
YDR298C,0.4576179448940103,-0.28279000000000004,1.0968023222,-0.5787384085965166
YDR303C,0.3947168230999696,-0.8201799999999999,2.3318212723999996,-0.43418030851188805
YDR304C,0.4660357565045919,-0.23437,0.9855244465999999,-0.598084054883723
YDR322C-A,0.3994496843795307,-0.14994,0.7914891092,-0.44505727564734987
YDR325W,0.38736876230149664,-1.04843,2.8563808573999996,-0.4172931421460535
YDR333C,0.39923570337210734,-0.6990850000000001,2.0535231653,-0.44456550877570966
YDR337W,0.401737200116252,-0.27338999999999997,1.0751994301999999,-0.450314398563168
YDR338C,0.3298967425333624,-0.708515,2.0751950026999997,-0.2852120957553227
YDR341C,0.4877246659545862,-0.6363,1.909231934,-0.6479290728035108
YDR345C,0.5278595086517833,-0.6098150000000001,1.8483646367000002,-0.7401661655933554
YDR346C,0.4742643669213275,-0.56241,1.7394194137999999,-0.6169948827712564
YDR347W,0.3375879456183595,-0.36042,1.2752100356,-0.30288786486120134
YDR351W,0.3409102471948282,-0.87424,2.4560608831999997,-0.31052311189821025
YDR353W,0.507862893655379,-0.34612,1.2423460616,-0.6942103449409187
YDR358W,0.3753991341536216,-0.5264500000000001,1.6567768610000002,-0.38978478212917
YDR368W,0.47974872048606987,-0.36555,1.2869996989999999,-0.629598914446676
YDR372C,0.4371999610864,-0.406495,1.3810986791,-0.5318142065695428
YDR375C,0.3977781005845524,-0.43654000000000004,1.4501474972000001,-0.4412156752014066
YDR377W,0.4430933801774207,-0.22419999999999998,0.962151956,-0.5453583444561447
YDR378C,0.3744209950278428,-0.13485000000000003,0.7568095730000001,-0.38753684235308783
YDR381W,0.5041983315625654,-0.30909,1.1572444562,-0.6857885216304567
YDR382W,0.6588074453990765,-0.16288999999999998,0.8212505401999999,-1.0411080948672498
YDR388W,0.4312671599984455,-0.5425599999999999,1.6938005407999999,-0.5181795617652275
YDR394W,0.4418517608123318,-0.4382,1.453962476,-0.5425048796636847
YDR398W,0.4217019726778483,-0.67115,1.9893235070000002,-0.49619703956877736
YDR399W,0.4955580849078173,-0.23287,0.9820771766,-0.6659316795734476
YDR404C,0.3485878915653245,-0.2206,0.9538785080000001,-0.32816772063759747
YDR405W,0.3164864136141458,-0.27506,1.0790373908,-0.2543927460397576
YDR408C,0.38939777140167614,-0.29612,1.1274370616,-0.42195617027990406
YDR422C,0.3637763227860785,-0.78519,2.2514079542,-0.3630734695005099
YDR427W,0.4341388440538012,-0.36667,1.2895736606,-0.5247792086275649
YDR429C,0.4772022250032386,-0.27331,1.0750155758,-0.6237466094579429
YDR434W,0.3944983472647388,-0.53267,1.6710715406,-0.43367821171687737
YDR440W,0.3677543623868843,-0.53579,1.6782418622,-0.37221572055028973
YDR441C,0.40292338873331096,-0.25682,1.0371185876,-0.4530404735191206
YDR452W,0.40902269807183217,-0.66475,1.974615155,-0.4670577842547232
YDR454C,0.503827794896162,-0.21900999999999998,0.9502244017999999,-0.6849369616744616
YDR457W,0.3859770294841589,-3.0717849999999998,7.5064148513,-0.41409468961990425
YDR458C,0.36258298295636937,-0.619075,1.8696457835000002,-0.360330959770669
YDR464W,0.3912468677212824,-1.2854400000000001,3.4010724992,-0.4262057264596968
YDR466W,0.35041312999745594,-0.77064,2.2179694351999997,-0.33236244709755325
YDR475C,0.34076789517811096,-0.8772750000000001,2.4630358595,-0.31019596134043104
YDR476C,0.3231432476944361,-0.30835,1.155543803,-0.2696913489863991
YDR477W,0.4098792140881651,-0.65636,1.9553334248,-0.46902621223313923
YDR483W,0.4547999919878761,-0.46935000000000004,1.5255507830000001,-0.572262245586697
YDR486C,0.4092390429937426,-0.22188,0.9568201783999999,-0.46755498382735927
YDR493W,0.3418309245817846,-0.164885,0.8258354093,-0.3126389942553657
YDR496C,0.4614524038899152,-0.5742,1.7665149560000002,-0.5875506855717254
YDR502C,0.5463969098912684,-0.457245,1.4977313141000002,-0.7827684503739152
YDR507C,0.4080416721240838,-1.05048,2.8610921264,-0.4648032100421269
YDR510W,0.5132395159687103,-0.13282,0.7521442676,-0.7065667908089706
YDR516C,0.42491367963836624,-0.591,1.8051243799999999,-0.5035781202713004
YDR529C,0.43594487155409095,-0.15064,0.7930978352,-0.5289297849081807
YDR533C,0.4508799414652141,-0.25015,1.021789727,-0.5632532638765257
YEL002C,0.40914995756485306,-0.44607500000000005,1.4720606435,-0.46735024947639403
YEL011W,0.4037832037427821,-0.7196849999999999,2.1008656732999995,-0.4550164831775869
YEL015W,0.4038743257807177,-0.50576,1.6092275168,-0.4552258980227297
YEL017W,0.35112858999036234,-0.36317,1.2815300306,-0.3340067029440509
YEL024W,0.4750092728080244,-0.352345,1.2566522321,-0.6187068105819455
YEL026W,0.586469316330542,-0.14016,0.7690129088,-0.874862053404525
